ueas_idueas,uea_seriada
211013,211014
212208,212413
212321,212353
212321,215105
212352,212354
212352,212355
212353,213252
212354,215103
212354,215104
212355,215106
212410,212412
212412,215114
212413,215108
212427,212444
212427,213193
212427,213196
212444,212208
212444,215107
212444,215111
213032,212427
213035,213040
213035,213274
213038,213039
213039,213040
213039,213274
213040,213191
213104,213228
213104,213230
213191,213193
213191,213194
213194,213141
213197,213198
213221,213104
213230,212321
213230,212410
213250,213251
213274,213221
213274,213256
214009,212444
215003,213032
215003,215109
215109,212427
215111,212352
215114,215102
215114,215103
